cluster_id,impedance,wound_temp,ph,tewl,ishealed,age,weight
0,11.561333333333332,85.53333333333333,6.362692307692308,54.61538461538461,0.26666666666666666,66.4,133.73333333333332
1,15.180666666666667,82.33749999999999,6.222954545454545,50.37222222222223,0.08333333333333333,55.583333333333336,176.625
2,21.455555555555556,78.44444444444444,6.889285714285714,38.266666666666666,0.4444444444444444,62.77777777777778,122.88888888888889
3,19.8916393442623,84.4171875,6.650480769230769,58.785000000000004,0.06153846153846154,65.01538461538462,226.8153846153846
4,6.9392,87.4,6.544,55.48888888888889,0.1,56.5,154.7
5,21.55952380952381,87.8952380952381,6.242857142857143,53.81111111111111,0.7142857142857143,59.80952380952381,189.95238095238096
6,13.886666666666668,87.0,5.971666666666667,53.239999999999995,0.2857142857142857,63.857142857142854,180.28571428571428
7,22.2018,85.14999999999999,5.8575,46.1,0.0,75.5,148.0
8,28.811111111111114,85.1,6.213888888888889,52.525,0.1,74.0,121.3
9,15.65,86.98,5.981315789473684,54.59375,0.4,72.6,175.72
10,16.535249999999998,85.94390243902438,6.371428571428571,54.541666666666664,0.24390243902439024,70.21951219512195,181.4878048780488
11,7.356166666666667,88.375,6.719545454545454,65.98571428571428,0.0,70.91666666666667,169.66666666666666
12,5.595583333333334,85.08333333333333,6.776666666666667,61.02,0.08333333333333333,72.0,158.83333333333334
